event,table_status,usable_main,excluded_asterisk,already_in_current_yaml,new_for_ringest,pe_status,pe_missing_fields,gwosc_event_endpoint,gwosc_event_version,gwosc_event_version_catalog,gwosc_pe_endpoint,pe_parameter_run,pe_waveform_family,M_final_Msun,sigma_M_final_Msun,chi_final,sigma_chi_final,z,sigma_z,f_hz,sigma_f_hz,tau_ms,sigma_tau_ms,delta_f_220,sigma_delta_f_220,delta_tau_220,sigma_delta_tau_220,table3_detector_frame_M_final_Msun,table3_detector_frame_sigma_M_final_Msun,table3_pseobnr_chi_f,table3_pseobnr_sigma_chi_f,mass_frame_note
GW150914,usable_main,True,False,True,False,OK,,https://gwosc.org/api/v2/events/GW150914,GW150914-v4,GWTC-2.1-confident,https://gwosc.org/api/v2/event-versions/GW150914-v4/parameters,GWTC-1-confident_GW150914_R2_pe_combined,C01:Mixed,61.5,3.4,0.68,0.05,0.1,0.03,253.3,17.9,4.51,1.41,0.02,0.1,0.1,0.35,71.7,12.6,0.76,0.23,Table 3 mass is detector-frame (1+z)M_f; YAML uses source-frame M_final_Msun from GWOSC PE.
GW170104,usable_main,True,False,True,False,OK,,https://gwosc.org/api/v2/events/GW170104,GW170104-v3,GWTC-2.1-confident,https://gwosc.org/api/v2/event-versions/GW170104-v3/parameters,GWTC-1-confident_GW170104_R2_pe_combined,C01:Mixed,47.5,4.5,0.67,0.08,0.22,0.09,284.8,36.8,4.91,3.58,-0.02,0.16,0.43,0.94,71.6,22.0,0.86,0.43,Table 3 mass is detector-frame (1+z)M_f; YAML uses source-frame M_final_Msun from GWOSC PE.
GW190519_153544,usable_main,True,False,True,False,OK,,https://gwosc.org/api/v2/events/GW190519_153544,GW190519_153544-v2,GWTC-2.1-confident,https://gwosc.org/api/v2/event-versions/GW190519_153544-v2/parameters,GWTC-2.1-confident_GW190519_153544_R2_pe_combined,C01:Mixed,100.0,13.0,0.79,0.12,0.45,0.24,121.7,14.3,8.55,4.75,-0.15,0.19,0.2,0.56,142.4,36.5,0.7,0.45,Table 3 mass is detector-frame (1+z)M_f; YAML uses source-frame M_final_Msun from GWOSC PE.
GW190521_074359,usable_main,True,False,True,False,OK,,https://gwosc.org/api/v2/events/GW190521_074359,GW190521_074359-v2,GWTC-2.1-confident,https://gwosc.org/api/v2/event-versions/GW190521_074359-v2/parameters,GWTC-2.1-confident_GW190521_074359_R2_pe_combined,C01:Mixed,72.6,6.5,0.71,0.06,0.21,0.1,204.0,24.4,5.49,1.9,0.06,0.19,-0.04,0.37,87.8,17.8,0.75,0.3,Table 3 mass is detector-frame (1+z)M_f; YAML uses source-frame M_final_Msun from GWOSC PE.
GW190630_185205,usable_main,True,False,False,True,OK,,https://gwosc.org/api/v2/events/GW190630_185205,GW190630_185205-v2,GWTC-2.1-confident,https://gwosc.org/api/v2/event-versions/GW190630_185205-v2/parameters,GWTC-2.1-confident_GW190630_185205_R2_pe_combined,C01:Mixed,56.6,4.5,0.7,0.07,0.18,0.09,247.6,49.4,3.81,2.49,-0.06,0.19,-0.04,0.62,69.1,18.1,0.69,0.53,Table 3 mass is detector-frame (1+z)M_f; YAML uses source-frame M_final_Msun from GWOSC PE.
GW190828_063405,usable_main,True,False,True,False,OK,,https://gwosc.org/api/v2/events/GW190828_063405,GW190828_063405-v2,GWTC-2.1-confident,https://gwosc.org/api/v2/event-versions/GW190828_063405-v2/parameters,GWTC-2.1-confident_GW190828_063405_R2_pe_combined,C01:Mixed,54.3,7.3,0.74,0.07,0.38,0.15,252.4,20.3,6.41,2.84,0.1,0.13,0.17,0.56,84.6,19.7,0.9,0.26,Table 3 mass is detector-frame (1+z)M_f; YAML uses source-frame M_final_Msun from GWOSC PE.
GW190910_112807,usable_main,True,False,True,False,OK,,https://gwosc.org/api/v2/events/GW190910_112807,GW190910_112807-v2,GWTC-2.1-confident,https://gwosc.org/api/v2/event-versions/GW190910_112807-v2/parameters,GWTC-2.1-confident_GW190910_112807_R2_pe_combined,C01:Mixed,74.4,8.6,0.69,0.08,0.29,0.17,174.5,12.2,9.49,3.46,0.01,0.13,0.61,0.63,123.2,19.6,0.9,0.12,Table 3 mass is detector-frame (1+z)M_f; YAML uses source-frame M_final_Msun from GWOSC PE.
GW191109_010717,excluded_asterisk,False,True,False,False,OK,,https://gwosc.org/api/v2/events/GW191109_010717,GW191109_010717-v1,GWTC-3-confident,https://gwosc.org/api/v2/event-versions/GW191109_010717-v1/parameters,GWTC-3-confident_GW191109_010717_R2_pe_combined,C01:Mixed,107.0,18.0,0.61,0.19,0.25,0.18,124.1,14.3,14.98,3.71,1.06,1.36,-0.11,0.41,180.1,21.1,0.93,0.05,Table 3 mass is detector-frame (1+z)M_f; YAML uses source-frame M_final_Msun from GWOSC PE.
GW200129_065458,usable_main,True,False,False,True,OK,,https://gwosc.org/api/v2/events/GW200129_065458,GW200129_065458-v1,GWTC-3-confident,https://gwosc.org/api/v2/event-versions/GW200129_065458-v1/parameters,GWTC-3-confident_GW200129_065458_R2_pe_combined,C01:Mixed,60.2,4.1,0.73,0.06,0.18,0.07,247.6,16.8,5.09,1.72,-0.01,0.08,0.16,0.38,77.3,12.3,0.81,0.25,Table 3 mass is detector-frame (1+z)M_f; YAML uses source-frame M_final_Msun from GWOSC PE.
GW200208_130117,excluded_asterisk,False,True,False,False,OK,,https://gwosc.org/api/v2/events/GW200208_130117,GW200208_130117-v1,GWTC-3-confident,https://gwosc.org/api/v2/event-versions/GW200208_130117-v1/parameters,GWTC-3-confident_GW200208_130117_R2_pe_combined,C01:Mixed,62.5,7.5,0.66,0.12,0.4,0.15,213.0,187.9,5.03,4.45,0.17,0.98,-0.11,0.68,78.3,33.5,0.77,0.55,Table 3 mass is detector-frame (1+z)M_f; YAML uses source-frame M_final_Msun from GWOSC PE.
GW200224_222234,usable_main,True,False,False,True,OK,,https://gwosc.org/api/v2/events/GW200224_222234,GW200224_222234-v1,GWTC-3-confident,https://gwosc.org/api/v2/event-versions/GW200224_222234-v1/parameters,GWTC-3-confident_GW200224_222234_R2_pe_combined,C01:Mixed,68.7,6.7,0.73,0.07,0.32,0.11,195.8,11.0,6.89,2.57,0.01,0.15,0.22,0.48,100.9,17.5,0.84,0.23,Table 3 mass is detector-frame (1+z)M_f; YAML uses source-frame M_final_Msun from GWOSC PE.
GW200311_115853,usable_main,True,False,False,True,OK,,https://gwosc.org/api/v2/events/GW200311_115853,GW200311_115853-v1,GWTC-3-confident,https://gwosc.org/api/v2/event-versions/GW200311_115853-v1/parameters,GWTC-3-confident_GW200311_115853_R2_pe_combined,C01:Mixed,59.0,4.8,0.69,0.08,0.23,0.07,239.8,23.1,5.24,6.17,0.02,0.17,0.15,1.51,80.0,26.5,0.81,0.43,Table 3 mass is detector-frame (1+z)M_f; YAML uses source-frame M_final_Msun from GWOSC PE.
GW230628_231200,usable_main,True,False,False,True,NO_VERIFICADO,final_spin,https://gwosc.org/api/v2/events/GW230628_231200,GW230628_231200-v1,GWTC-4.0,https://gwosc.org/api/v2/event-versions/GW230628_231200-v1/parameters,GWTC-4.0_GW230628_231200_C00:Mixed_RW2_PE,C00:Mixed,56.5,8.1,,,0.4,0.17,224.2,13.2,6.81,2.14,0.08,0.17,0.31,0.47,93.1,14.4,0.88,0.15,Table 3 mass is detector-frame (1+z)M_f; YAML uses source-frame M_final_Msun from GWOSC PE.
GW230914_111401,usable_main,True,False,False,True,NO_VERIFICADO,final_spin,https://gwosc.org/api/v2/events/GW230914_111401,GW230914_111401-v1,GWTC-4.0,https://gwosc.org/api/v2/event-versions/GW230914_111401-v1/parameters,GWTC-4.0_GW230914_111401_C00:Mixed+XO4a_RW4_PE,C00:Mixed+XO4a,90.9,14.0,,,0.47,0.23,122.1,8.2,9.14,3.78,-0.12,0.15,0.26,0.47,147.6,33.0,0.75,0.38,Table 3 mass is detector-frame (1+z)M_f; YAML uses source-frame M_final_Msun from GWOSC PE.
GW230927_153832,usable_main,True,False,False,True,NO_VERIFICADO,final_spin,https://gwosc.org/api/v2/events/GW230927_153832,GW230927_153832-v1,GWTC-4.0,https://gwosc.org/api/v2/event-versions/GW230927_153832-v1/parameters,GWTC-4.0_GW230927_153832_C00:Mixed+XO4a_RW4_PE,C00:Mixed+XO4a,36.5,3.1,,,0.23,0.1,375.6,26.5,3.66,1.24,-0.01,0.09,0.35,0.45,53.1,10.3,0.85,0.24,Table 3 mass is detector-frame (1+z)M_f; YAML uses source-frame M_final_Msun from GWOSC PE.
GW231028_153006,usable_main,True,False,False,True,NO_VERIFICADO,final_spin,https://gwosc.org/api/v2/events/GW231028_153006,GW231028_153006-v1,GWTC-4.0,https://gwosc.org/api/v2/event-versions/GW231028_153006-v1/parameters,GWTC-4.0_GW231028_153006_C00:Mixed+XO4a_RW4_PE,C00:Mixed+XO4a,144.0,27.0,,,0.67,0.27,78.5,4.5,13.9,5.25,-0.23,0.19,0.17,0.32,226.2,42.6,0.73,0.34,Table 3 mass is detector-frame (1+z)M_f; YAML uses source-frame M_final_Msun from GWOSC PE.
GW231102_071736,usable_main,True,False,False,True,NO_VERIFICADO,final_spin,https://gwosc.org/api/v2/events/GW231102_071736,GW231102_071736-v1,GWTC-4.0,https://gwosc.org/api/v2/event-versions/GW231102_071736-v1/parameters,GWTC-4.0_GW231102_071736_C00:Mixed+XO4a_RW4_PE,C00:Mixed+XO4a,98.0,19.0,,,0.63,0.26,108.1,11.5,13.18,5.67,0.25,0.32,0.02,0.44,187.7,49.5,0.86,0.3,Table 3 mass is detector-frame (1+z)M_f; YAML uses source-frame M_final_Msun from GWOSC PE.
GW231206_233901,usable_main,True,False,False,True,NO_VERIFICADO,final_spin,https://gwosc.org/api/v2/events/GW231206_233901,GW231206_233901-v1,GWTC-4.0,https://gwosc.org/api/v2/event-versions/GW231206_233901-v1/parameters,GWTC-4.0_GW231206_233901_C00:Mixed_RW2_PE,C00:Mixed,63.1,5.0,,,0.28,0.08,203.5,17.9,4.8,1.87,-0.03,0.12,0.01,0.36,81.5,17.7,0.65,0.4,Table 3 mass is detector-frame (1+z)M_f; YAML uses source-frame M_final_Msun from GWOSC PE.
GW231226_101520,usable_main,True,False,False,True,NO_VERIFICADO,final_spin,https://gwosc.org/api/v2/events/GW231226_101520,GW231226_101520-v1,GWTC-4.0,https://gwosc.org/api/v2/event-versions/GW231226_101520-v1/parameters,GWTC-4.0_GW231226_101520_C00:Mixed+XO4a_RW4_PE,C00:Mixed+XO4a,71.4,3.8,,,0.23,0.06,192.3,8.2,5.66,1.26,0.02,0.14,0.04,0.25,92.0,12.2,0.73,0.18,Table 3 mass is detector-frame (1+z)M_f; YAML uses source-frame M_final_Msun from GWOSC PE.
